well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason
JUT-01,134098.0,451726.0,,,43.6703,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,42.8041,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,42.7589,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,43.2326,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,44.7248,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.8832,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,49.04,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,49.9183,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,47.5234,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.3009,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.6296,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.7707,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.9099,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.8537,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,44.7331,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.0015,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.9182,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.2291,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.1018,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.9444,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,47.0895,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.9466,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.1043,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,45.0474,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,43.705,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,42.3631,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,41.0223,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,40.4711,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,42.4418,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,44.413,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,46.6571,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,49.8368,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,52.1395,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,51.955,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,50.943,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,49.5481,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,48.9869,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
JUT-01,134098.0,451726.0,,,48.4745,,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use
